areacd,areanm,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E06000046,Isle of Wight,27070,26771,29466,30776,31736,32586,33730,34765,35668,36367,37577,39132,40532,41216,41392,42012,42988,44111,44660
E06000047,County Durham,32228,31975,34655,36220,37337,38397,39580,40729,41733,42286,42866,42981,43285,43480,44142,44844,45561,46036,46245
E06000049,Cheshire East,44044,44073,46361,48229,50049,50848,51318,51808,53151,54837,56578,57819,59806,62245,65314,67280,68787,69540,70143
E06000050,Cheshire West and Chester,39113,38855,41210,43354,45723,47919,49653,51106,52211,53189,54112,54734,54906,54542,54974,56385,58186,59246,59472
E06000051,Shropshire,30245,29982,32073,33287,34529,35245,35580,35446,35678,36300,37175,38013,38613,39051,39422,39949,40577,40952,41089
E06000052,Cornwall,28541,28311,30309,31384,32024,32292,32442,32490,32731,33234,34054,34993,35983,37169,38510,40037,40992,41473,41393
E06000053,Isles of Scilly,36841,36365,37659,38210,38606,38827,40069,42269,46207,49658,48809,43053,37375,39800,50047,59176,61917,59472,57424
E06000054,Wiltshire,32430,32358,33613,34475,35387,36309,37294,38174,39577,41361,43266,43953,43619,43134,43345,44252,44879,45112,44978
E06000055,Bedford,35099,35210,35582,36691,38566,40085,41294,41544,41642,41680,42331,43313,44588,46088,47613,49258,50155,50602,50462
E06000056,Central Bedfordshire,37991,37960,38379,38978,39613,40484,41025,41324,41487,42244,43615,45144,47223,50381,54540,57144,57000,54795,53066
E06000057,Northumberland,30363,30272,31540,32563,33547,34149,34418,34705,35707,36966,38319,39044,40017,40716,41516,41868,42495,43128,43664
E06000058,"Bournemouth, Christchurch and Poole",35195,35034,37025,38548,40241,41734,42818,43442,43583,43840,44177,45024,46262,47989,49589,50764,51136,51259,51203
E06000059,Dorset,33923,33731,35205,35924,36394,36539,36687,36689,37115,37605,38471,39304,40235,41145,42013,43194,44227,45170,45525
E06000060,Buckinghamshire,41010,40955,42182,44019,46089,48210,49747,51014,52063,53044,53703,54283,54291,54192,54243,55191,56540,57551,57913
E06000061,North Northamptonshire,32429,32283,33538,34595,36023,37276,38440,38804,38950,38831,39446,40464,41651,42323,42755,42989,43239,43121,42996
E06000062,West Northamptonshire,34489,34449,35784,37418,39464,40942,41908,42374,42729,43266,44179,45816,47590,49072,50175,51335,52705,53812,54362
E07000008,Cambridge,33884,33530,37708,40240,41975,43273,44550,46149,47644,48632,48947,48982,49352,50350,51408,52429,52626,52755,52530
E07000009,East Cambridgeshire,43691,43222,45383,44830,43825,44406,46715,49267,50349,49679,47913,46567,46146,46743,47649,49367,50967,52207,52466
E07000010,Fenland,36575,36644,36233,35996,36162,37121,38976,40947,42984,44229,45721,46979,47853,47298,45911,45350,45134,45335,44964
E07000011,Huntingdonshire,37125,36773,38684,39301,39645,40156,40910,41953,43134,44490,45600,46423,47396,49140,51568,53948,55223,55748,55726
E07000012,South Cambridgeshire,43344,43060,45228,46369,47339,48487,49239,49754,50936,53376,56007,57104,56817,56536,56970,57651,58097,58061,57993
E07000026,Allerdale,33164,33503,33523,34531,35616,36829,38160,39258,39614,39546,40464,42466,44423,45112,44434,43344,42491,42224,42224
E07000027,Barrow-in-Furness,29985,29915,30763,32027,34040,35813,36978,37720,39300,41299,43109,44007,44874,46638,49582,53360,56682,58982,59888
E07000028,Carlisle,31932,31815,33611,35006,36546,38314,39961,41082,41082,41048,40888,41934,43169,44962,46307,47607,48009,48178,47889
E07000029,Copeland,32636,32701,36949,40472,42494,43052,43293,43252,43424,43149,43498,44130,44961,44757,43596,41944,41277,41372,41784
E07000030,Eden,34849,35026,35906,37339,38526,38652,38082,38131,39439,41120,42653,43601,44593,45487,46566,47715,48076,47593,46732
E07000031,South Lakeland,30287,30278,31848,33611,35124,36248,36824,36829,36694,36286,36449,36988,38012,39530,40872,42214,42439,42329,41878
E07000032,Amber Valley,32432,32282,33973,35189,36195,37130,37769,38321,38795,39591,40620,41600,42811,44092,46062,47752,49995,51610,52856
E07000033,Bolsover,52482,52913,51253,50668,50663,50840,50837,50375,49681,48404,48359,48047,49432,50932,54481,58659,62823,65557,66703
E07000034,Chesterfield,27236,27202,28941,30476,32048,33737,35188,36065,36036,36082,36966,39193,41298,42839,43113,43419,44200,45650,46767
E07000035,Derbyshire Dales,28046,27714,29918,31034,31945,32166,32189,31727,31653,32013,33664,35901,37738,38263,38081,37718,37762,37628,37637
E07000036,Erewash,23531,23301,24768,25610,26483,27597,28764,30123,31411,32689,33783,35182,36586,37792,38368,38836,39468,40362,40995
E07000037,High Peak,29442,29140,31416,32623,33373,33730,33663,33404,33386,33910,35070,36804,38545,40102,40546,40269,39386,38928,38781
E07000038,North East Derbyshire,27869,27785,29811,31650,33407,34517,34891,35024,35382,36447,38033,39829,41448,42554,43084,43848,45391,47539,48993
E07000039,South Derbyshire,52590,53529,50087,49989,51619,53286,54663,55670,56053,57925,61435,67664,73020,76481,77746,79742,83181,87098,89414
E07000040,East Devon,31635,31080,33687,34192,34064,34853,36131,37043,37734,38678,40268,40999,40873,40500,41113,42764,44529,46073,46791
E07000041,Exeter,39011,39046,39926,41305,42991,44516,45238,45704,46464,48126,49106,49496,49253,50268,51573,53034,53469,53839,53894
E07000042,Mid Devon,27426,27311,28892,29981,31174,32022,32892,33127,33534,33626,34035,34352,34429,34712,35957,38481,40993,42203,42328
E07000043,North Devon,32603,32556,33440,34325,35574,36318,36856,36927,36877,36908,37014,37203,38123,38882,39889,39628,40280,40909,41958
E07000044,South Hams,32937,32830,34125,35276,36359,36896,36941,36872,37009,37667,38891,40896,42871,44024,44014,43612,43115,43006,42828
E07000045,Teignbridge,27110,26545,30459,32490,33894,34078,34043,33561,33752,33740,34786,36401,38778,40584,42098,43188,43481,43092,42416
E07000046,Torridge,29523,29442,30985,32430,33589,34013,33441,33044,33480,34146,35119,36052,37497,38416,38718,38392,36868,35123,33613
E07000047,West Devon,27062,26873,28373,29109,29406,29238,29157,29911,31439,33103,33334,33283,33146,33621,34683,36092,37354,37700,37468
E07000061,Eastbourne,28733,28704,29739,30877,32080,32851,33215,33767,34380,35054,35125,35152,35800,36789,38276,39602,41376,42989,44002
E07000062,Hastings,27783,27694,28596,29199,30260,31809,33892,35086,35360,34910,35100,36199,38018,39481,40738,41258,42084,42348,42691
E07000063,Lewes,30184,29921,32498,34471,36020,36329,35911,35780,36230,37150,37442,37656,37740,38649,40093,41901,42951,43442,43444
E07000064,Rother,28012,27925,28830,29245,29711,29812,29957,30098,30816,31653,32374,32951,33966,35277,36776,37479,38186,38374,38739
E07000065,Wealden,31671,31622,32351,32865,33599,34153,34687,34762,34726,34640,34820,35649,36795,37911,38756,39218,39815,40056,40324
E07000066,Basildon,46255,46075,46556,47384,48596,49879,51035,51799,52929,54034,55493,56690,57172,57542,58515,60613,62483,63515,63696
E07000067,Braintree,33025,32649,35306,36605,37574,38234,39517,40591,41909,42548,43378,44500,46436,49378,52958,55987,56833,55870,54555
E07000068,Brentwood,45882,45742,48759,51822,54240,55354,55092,54710,55340,55505,56695,59547,64877,71009,76456,81969,84390,85092,83753
E07000069,Castle Point,29529,29293,30149,30320,30563,30828,31547,31740,31638,31552,32024,33365,34656,36064,37060,37857,37726,37456,37075
E07000070,Chelmsford,36893,36477,39130,40712,41975,43303,44063,44140,44070,44644,46379,48087,49207,49149,49203,49849,51563,53199,54240
E07000071,Colchester,29524,29255,30963,31934,32777,33532,34276,34967,35736,36625,37479,38219,38902,39885,41406,43354,45337,46733,47385
E07000072,Epping Forest,46777,46858,47034,48488,51288,53661,55350,56179,56619,56400,55813,56268,58142,61242,64013,65973,66078,65306,64290
E07000073,Harlow,43493,42593,49581,52851,54067,53203,51465,49725,47890,45809,44014,43850,44677,46175,47618,49547,50940,51699,51730
E07000074,Maldon,32935,32372,34757,35635,35471,35182,34704,35473,36141,37088,36943,37264,37789,38987,40574,42330,43853,44968,45456
E07000075,Rochford,30388,30234,32612,34266,35612,36321,36262,35616,34359,33101,33123,34417,37346,39367,41154,41595,43242,44813,46390
E07000076,Tendring,28234,28044,30227,31147,31358,31822,32342,32814,32780,33008,33649,35161,36635,38449,39652,40676,40595,40290,39812
E07000077,Uttlesford,34784,34541,35960,36858,37629,38606,39686,40820,41459,42185,43227,45061,46094,46139,45159,44444,43472,42694,41922
E07000078,Cheltenham,31149,30856,34577,37641,40300,42144,42830,42626,41603,40508,39926,40282,41925,43851,46229,47582,48663,48853,48986
E07000079,Cotswold,47846,47735,51283,54645,57395,59845,61429,62106,61456,59698,58504,58374,59286,60759,63396,66998,69927,71349,71428
E07000080,Forest of Dean,40014,39534,42389,43770,44799,45800,47060,47575,48684,49373,51411,52688,53372,53266,53219,55437,59593,65043,68598
E07000081,Gloucester,34228,34355,35198,36445,38114,39634,40807,41694,42971,44529,46123,47170,48193,49075,49540,49037,48126,47463,47306
